	NA	NA	Sp_ds	Sp_hs	Sp_log	Sp_plat	NA	NA
c3617_g1_i2	P14068	GO:0000122	27.94	76.55	54.81	0.00	negative regulation of transcription from RNA polymerase II promoter	Full=Exportin-1; AltName: Full=Caffeine resistance protein 2; AltName: Full=Chromosome region maintenance protein 1 [Schizosaccharomyces pombe 972h-]
c4967_g1_i1	Q09864	GO:0000166	444.06	2369.25	565.50	69.82	nucleotide binding	Full=Heat shock protein 60, mitochondrial; Short=HSP60; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c5401_g1_i1	P21911	GO:0005737	614.49	327.72	153.28	1178.15	cytoplasm	Full=Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial; AltName: Full=Iron-sulfur subunit of complex II; Short=Ip; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c4998_g1_i1	O59838	GO:0000166	278.06	2036.46	695.91	104.17	nucleotide binding	Full=Heat shock protein homolog pss1 [Schizosaccharomyces pombe 972h-]
c4636_g1_i1	O14050	GO:0005509	0.00	24.85	0.00	11.58	calcium ion binding	Full=Uncharacterized MscS family protein C2C4.17c [Schizosaccharomyces pombe 972h-]
c1486_g1_i1	Q09688	GO:0003674	102.80	42.68	18.55	1446.50	molecular_function	Full=Meiotically up-regulated gene 121 protein; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c545_g1_i1	Q9P6K9	GO:0004497	16.99	51.97	158.52	15.09	monooxygenase activity	Full=Deoxyhypusine hydroxylase; Short=DOHH; AltName: Full=Deoxyhypusine dioxygenase; AltName: Full=Deoxyhypusine monooxygenase [Schizosaccharomyces pombe 972h-]
c4756_g5_i1	P0CT42	GO:0003676	0.00	73.98	13.76	0.00	nucleic acid binding	Full=Transposon Tf2-7 polyprotein; AltName: Full=Retrotransposable element Tf2 155 kDa protein [Schizosaccharomyces pombe 972h-]
c6000_g1_i1	O74914	GO:0005634	962.90	182.78	8.39	677.21	nucleus	Full=Glutathione-independent glyoxalase hsp3101; AltName: Full=Glyoxalase 3 homolog 1; AltName: Full=Heat shock protein 31 homolog 1 [Schizosaccharomyces pombe 972h-]
c169_g1_i1	Q9P782	GO:0001671	310.16	1986.52	301.97	118.05	ATPase activator activity	Full=Uncharacterized protein C1711.08 [Schizosaccharomyces pombe 972h-]
c1744_g1_i1	Q9P378	GO:0000902	41.19	140.60	802.08	95.31	cell morphogenesis	Full=1,3-beta-glucanosyltransferase gas1; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c4671_g1_i2	Q9C105	GO:0000324	7.51	21.76	71.21	10.32	fungal-type vacuole	Full=Chitinase-like protein PB1E7.04c; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c4502_g1_i1	O13614	GO:0000054	721.75	1617.63	1853.49	229.36	ribosomal subunit export from nucleus	Full=40S ribosomal protein S10-B [Schizosaccharomyces pombe 972h-]
c4633_g1_i1	Q10499	GO:0005634	336.87	47.83	8.52	169.56	nucleus	Full=Apoptosis-inducing factor 1 [Schizosaccharomyces pombe 972h-]
c1416_g1_i1	Q10327	GO:0003674	761.83	69.56	20.51	188.08	molecular_function	Full=Uncharacterized protein C32A11.02c [Schizosaccharomyces pombe 972h-]
c1729_g1_i1	Q9Y7P0	GO:0004746	167.67	65.19	35.31	833.93	riboflavin synthase activity	Full=Riboflavin synthase; Short=RS [Schizosaccharomyces pombe 972h-]
c1140_g1_i1	Q9USN5	GO:0004352	105.64	22.08	9.56	267.43	glutamate dehydrogenase (NAD+) activity	Full=Probable NAD-specific glutamate dehydrogenase; Short=NAD-GDH [Schizosaccharomyces pombe 972h-]
c6155_g1_i1	O13912	GO:0003674	90.22	40.65	0.00	53.32	molecular_function	Full=Uncharacterized protein C23C11.06c [Schizosaccharomyces pombe 972h-]
c4754_g1_i1	Q9P3U6	GO:0005358	159.05	1.60	1.14	11.61	high-affinity hydrogen:glucose symporter activity	Full=High-affinity glucose transporter ght1; AltName: Full=Hexose transporter 1 [Schizosaccharomyces pombe 972h-]
c580_g1_i1	Q9P6I7	GO:0000034	17.22	15.75	191.70	29.03	adenine deaminase activity	Full=Adenine deaminase; Short=ADE; AltName: Full=Adenine aminohydrolase; Short=AAH [Schizosaccharomyces pombe 972h-]
c4853_g1_i1	O13972	GO:0003824	243.96	490.61	856.72	79.03	catalytic activity	Full=Probable serine hydroxymethyltransferase, cytosolic; Short=SHMT; AltName: Full=Glycine hydroxymethyltransferase; AltName: Full=Serine methylase [Schizosaccharomyces pombe 972h-]
c87_g1_i1	Q09892	GO:0000161	14.47	13.00	0.00	52.57	MAPK cascade involved in osmosensory signaling pathway	Full=Mitogen-activated protein kinase sty1; Short=MAP kinase sty1; AltName: Full=MAP kinase spc1 [Schizosaccharomyces pombe 972h-]
c305_g1_i1	Q9P778	GO:0005576	73.80	656.12	40.92	48.25	extracellular region	Full=Dipeptidyl-peptidase 5; AltName: Full=Dipeptidyl-peptidase V; Short=DPP V; Short=DppV; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c4809_g1_i1	O94698	GO:0003674	3.86	57.58	117.69	7.89	molecular_function	Full=Ribosome biogenesis protein nsa1 [Schizosaccharomyces pombe 972h-]
c2673_g2_i1	NA	NA	30.87	8.36	0.00	33.98	NA	NA
c6038_g1_i1	NA	NA	7.37	38.05	0.00	37.67	NA	NA
c4639_g2_i2	P79013	GO:0002181	393.32	1068.55	1223.96	113.66	cytoplasmic translation	Full=40S ribosomal protein S11 [Schizosaccharomyces pombe 972h-]
c482_g1_i1	O94602	GO:0003674	128.36	112.60	23.66	325.29	molecular_function	Full=Uncharacterized protein C622.15c [Schizosaccharomyces pombe 972h-]
c4601_g1_i2	O13945	GO:0000166	13.67	0.00	13.86	29.72	nucleotide binding	Full=Protein kinase domain-containing protein ppk9 [Schizosaccharomyces pombe 972h-]
c5281_g1_i1	O60198	GO:0000166	47.54	331.33	756.09	26.34	nucleotide binding	Full=S-adenosylmethionine synthase; Short=AdoMet synthase; AltName: Full=Methionine adenosyltransferase; Short=MAT [Schizosaccharomyces pombe 972h-]
c5166_g1_i1	Q9HGL6	GO:0003723	17.35	168.35	197.83	46.65	RNA binding	Full=Ribosome biogenesis protein brx1 [Schizosaccharomyces pombe 972h-]
c1155_g1_i1	P78797	GO:0000324	19.60	243.83	14.88	54.98	fungal-type vacuole	Full=Uncharacterized proline-rich protein C70.10; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c4561_g2_i1	O59675	GO:0002181	780.67	2435.09	2228.73	145.31	cytoplasmic translation	Full=40S ribosomal protein S9-B [Schizosaccharomyces pombe 972h-]
c3784_g1_i1	Q09745	GO:0005634	314.75	1377.55	107.76	221.22	nucleus	Full=Uncharacterized protein C12C2.04 [Schizosaccharomyces pombe 972h-]
c2216_g1_i1	O13889	GO:0000166	42.25	25.90	9.65	116.26	nucleotide binding	Full=Eukaryotic translation initiation factor 2-alpha kinase 1; AltName: Full=Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase; AltName: Full=Heme-regulated inhibitor 1 [Schizosaccharomyces pombe 972h-]
c5069_g1_i1	O74791	GO:0000054	13.80	102.64	206.92	46.99	ribosomal subunit export from nucleus	Full=GTPase grn1; AltName: Full=GTPase in ribosomal export from the nucleolus protein 1; AltName: Full=Nuclear GTP-binding protein grn1 [Schizosaccharomyces pombe 972h-]
c1033_g1_i1	Q9UUH8	GO:0000324	39.18	0.00	12.09	111.88	fungal-type vacuole	Full=Uncharacterized protein C630.04c [Schizosaccharomyces pombe 972h-]
c2585_g1_i1	Q9UT63	GO:0005634	276.18	69.36	4.12	90.22	nucleus	Full=Probable phosphatase SPAC513.02 [Schizosaccharomyces pombe 972h-]
c4746_g1_i3	Q09740	GO:0004360	0.00	4.91	10.00	26.34	glutamine-fructose-6-phosphate transaminase (isomerizing) activity	Full=Probable glutamine--fructose-6-phosphate aminotransferase [isomerizing]; Short=GFAT; AltName: Full=D-fructose-6-phosphate amidotransferase; AltName: Full=Hexosephosphate aminotransferase [Schizosaccharomyces pombe 972h-]
c6235_g1_i1	O13725	GO:0000166	215.06	56.05	6.59	629.04	nucleotide binding	Full=NAD(P)H-hydrate epimerase; AltName: Full=Meiotically up-regulated gene 182 protein; AltName: Full=NAD(P)HX epimerase [Schizosaccharomyces pombe 972h-]
c4971_g1_i1	O94440	GO:0003674	1619.81	631.10	17.44	1222.13	molecular_function	Full=Uncharacterized protein C637.03 [Schizosaccharomyces pombe 972h-]
c1088_g1_i1	Q10111	GO:0003674	33.30	8.49	3.22	0.00	molecular_function	Full=Uncharacterized protein C18G6.12c [Schizosaccharomyces pombe 972h-]
c5897_g1_i1	Q9USI5	GO:0005634	367.94	2611.91	362.31	101.21	nucleus	Full=Heat shock protein sti1 homolog [Schizosaccharomyces pombe 972h-]
c5846_g1_i1	O42909	GO:0004024	867.49	1077.02	58.95	1174.82	alcohol dehydrogenase activity, zinc-dependent	Full=Zinc-type alcohol dehydrogenase-like protein C16A3.02c [Schizosaccharomyces pombe 972h-]
c4619_g2_i1	Q9UUC1	GO:0002181	353.64	1331.03	1402.56	109.40	cytoplasmic translation	Full=60S ribosomal protein L21-A [Schizosaccharomyces pombe 972h-]
c2248_g1_i2	NA	NA	12.35	0.00	1.59	111.70	NA	NA
c3115_g1_i1	O74395	GO:0005783	54.05	13.88	322.91	68.43	endoplasmic reticulum	Full=Siderophore iron transporter 1 [Schizosaccharomyces pombe 972h-]
c3473_g1_i1	O13802	GO:0005515	18.22	95.23	190.04	30.24	protein binding	Full=Probable rRNA-processing protein ebp2 [Schizosaccharomyces pombe 972h-]
c5817_g1_i1	Q8TPV2	GO:0003824	4172.13	2138.13	10.83	899.42	catalytic activity	Full=Dihydroxy-acid dehydratase 1; Short=DAD 1 [Methanosarcina acetivorans C2A]
c5525_g1_i1	NA	NA	8.36	0.00	2.26	95.08	NA	NA
c4979_g1_i1	Q10101	GO:0002181	1763.87	4578.67	5506.98	720.04	cytoplasmic translation	Full=40S ribosomal protein S7 [Schizosaccharomyces pombe 972h-]
c4364_g1_i2	O43120	GO:0000166	28.34	38.66	0.05	13.52	nucleotide binding	Full=Splicing factor U2AF-associated protein 2; AltName: Full=Cold sensitive U2 snRNA suppressor 2 homolog [Schizosaccharomyces pombe 972h-]
c5856_g1_i1	Q9UTI1	GO:0004866	0.00	0.00	7.98	95.18	endopeptidase inhibitor activity	Full=Silencing boundary-establishment protein FUB1-like protein; AltName: Full=Proteasome inhibitor PI31-like protein SPAC15E1.10 [Schizosaccharomyces pombe 972h-]
c133_g1_i1	Q9P7B4	GO:0005737	185.91	670.81	65.52	199.51	cytoplasm	Full=Uncharacterized oxidoreductase C521.03 [Schizosaccharomyces pombe 972h-]
c5340_g1_i1	O14317	GO:0002182	255.90	1057.34	1158.57	7.20	cytoplasmic translational elongation	Full=60S acidic ribosomal protein P2-C [Schizosaccharomyces pombe 972h-]
c3718_g2_i1	O59721	GO:0001522	19.79	0.00	10.89	30.95	pseudouridine synthesis	Full=Probable tRNA pseudouridine synthase 4; AltName: Full=tRNA pseudouridine(55) synthase; Short=Psi55 synthase; AltName: Full=tRNA pseudouridylate synthase 4; AltName: Full=tRNA-uridine isomerase 4 [Schizosaccharomyces pombe 972h-]
c3013_g1_i1	O13772	GO:0003674	36.91	116.24	8.79	42.84	molecular_function	Full=Proline/serine-rich protein C17A5.10 [Schizosaccharomyces pombe 972h-]
c2826_g1_i1	NA	NA	0.00	111.77	0.00	0.00	NA	NA
c3408_g2_i1	P78972	GO:0000070	4.67	22.20	81.46	8.96	mitotic sister chromatid segregation	Full=WD repeat-containing protein slp1 [Schizosaccharomyces pombe 972h-]
c6135_g1_i1	O59858	GO:0004601	1529.49	3235.30	143.54	1980.15	peroxidase activity	Full=Glutathione peroxidase [Schizosaccharomyces pombe 972h-]
c6194_g1_i1	P87147	GO:0005634	383.44	994.83	973.19	107.32	nucleus	Full=Nascent polypeptide-associated complex subunit alpha; Short=NAC-alpha; AltName: Full=Alpha-NAC [Schizosaccharomyces pombe 972h-]
c4703_g2_i1	O94487	GO:0000166	15.78	158.80	7.67	64.00	nucleotide binding	Full=Serine/threonine-protein kinase ppk35; AltName: Full=Meiotically up-regulated gene 27 protein [Schizosaccharomyces pombe 972h-]
c1859_g1_i2	Q96WU9	GO:0003674	61.35	0.00	2.95	79.54	molecular_function	Full=Uncharacterized protein PB16A4.06c [Schizosaccharomyces pombe 972h-]
c5297_g1_i1	Q10352	GO:0003958	38.49	361.16	47.19	37.88	NADPH-hemoprotein reductase activity	Full=Uncharacterized protein C1F12.10c [Schizosaccharomyces pombe 972h-]
c4712_g3_i1	O14367	GO:0003674	60.79	8.81	7.40	251.67	molecular_function	Full=Gluconate transport inducer 1 [Schizosaccharomyces pombe 972h-]
c66_g1_i1	O94435	GO:0003674	325.45	603.49	42.01	686.98	molecular_function	Full=Meiotically up-regulated gene 35 protein [Schizosaccharomyces pombe 972h-]
c4378_g1_i3	O94721	GO:0003674	8.50	26.50	85.62	0.00	molecular_function	Full=RWD domain-containing protein C1393.09c [Schizosaccharomyces pombe 972h-]
c3069_g1_i1	NA	NA	12.00	295.63	8.03	12.27	NA	NA
c2123_g1_i1	O74215	GO:0000166	88.92	6.47	6.66	939.95	nucleotide binding	Full=Dihydroxyacetone kinase 2; Short=DHA kinase 2; AltName: Full=Glycerone kinase 2; AltName: Full=Triokinase 2; AltName: Full=Triose kinase 2 [Schizosaccharomyces pombe 972h-]
c2464_g1_i1	O94599	GO:0000139	2.80	0.00	0.00	21.42	Golgi membrane	Full=LIMR family protein C622.11 [Schizosaccharomyces pombe 972h-]
c2287_g1_i1	P78812	GO:0004616	5073.93	4018.74	691.17	323.68	phosphogluconate dehydrogenase (decarboxylating) activity	Full=6-phosphogluconate dehydrogenase, decarboxylating [Schizosaccharomyces pombe 972h-]
c3447_g1_i1	Q9URZ1	GO:0004719	20.49	2.31	5.75	66.16	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity	Full=Probable protein-L-isoaspartate O-methyltransferase; Short=PIMT; AltName: Full=L-isoaspartyl protein carboxyl methyltransferase; AltName: Full=Protein L-isoaspartyl methyltransferase; AltName: Full=Protein-beta-aspartate methyltransferase [Schizosaccharomyces pombe 972h-]
c4189_g1_i3	P78798	GO:0000268	76.88	16.73	7.31	485.63	peroxisome targeting sequence binding	Full=Peroxisomal targeting signal 2 receptor; Short=PTS2 receptor; AltName: Full=Peroxin-7 [Schizosaccharomyces pombe 972h-]
c4686_g1_i2	O74899	GO:0005215	7.27	4.11	0.00	207.70	transporter activity	Full=Uncharacterized transporter C576.17c [Schizosaccharomyces pombe 972h-]
c2869_g1_i1	O94402	GO:0000329	24.25	11.63	6.72	88.20	fungal-type vacuole membrane	Full=Probable zinc transporter zip2 [Schizosaccharomyces pombe 972h-]
c6428_g1_i1	NA	NA	0.00	127.54	0.00	0.00	NA	NA
c4786_g1_i1	P24488	GO:0000978	1183.44	717.13	31.73	2260.66	RNA polymerase II core promoter proximal region sequence-specific DNA binding	Full=Transcriptional activator hap2 [Schizosaccharomyces pombe 972h-]
c2128_g1_i1	Q96WW3	GO:0003674	12.98	120.05	189.72	62.53	molecular_function	Full=UPF0642 protein C32H8.05 [Schizosaccharomyces pombe 972h-]
c2096_g1_i2	O36021	GO:0003674	0.00	0.00	33.16	0.00	molecular_function	Full=Uncharacterized protein C4F10.09c [Schizosaccharomyces pombe 972h-]
c1910_g1_i1	NA	NA	2.25	0.00	0.00	75.45	NA	NA
c5946_g1_i1	NA	NA	166.45	1481.30	142.46	146.15	NA	NA
c4849_g1_i1	Q9P7K6	GO:0003674	2360.17	8144.43	67.99	434.08	molecular_function	Full=SDO1-like protein C21C3.19 [Schizosaccharomyces pombe 972h-]
c1661_g1_i1	Q10066	GO:0000050	185.69	721.94	1503.96	184.21	urea cycle	Full=Arginase [Schizosaccharomyces pombe 972h-]
c3245_g1_i1	NA	NA	45.20	1.25	28.45	2.72	NA	NA
c3079_g1_i1	O74888	GO:0000139	155.60	693.05	30.09	143.68	Golgi membrane	Full=Bax inhibitor 1; AltName: Full=BH3 domain-containing protein bxi1 [Schizosaccharomyces pombe 972h-]
c4742_g1_i1	Q9P7B2	GO:0002182	568.98	3038.47	2262.96	154.41	cytoplasmic translational elongation	Full=40S ribosomal protein S8-B [Schizosaccharomyces pombe 972h-]
c236_g1_i1	O94268	GO:0003723	14.34	79.99	188.08	19.54	RNA binding	Full=25S rRNA (cytosine-C(5))-methyltransferase nop2; AltName: Full=Nucleolar protein 2 [Schizosaccharomyces pombe 972h-]
c2933_g1_i1	O74875	GO:0003958	1.64	122.56	23.07	18.47	NADPH-hemoprotein reductase activity	Full=Uncharacterized heme-binding protein C330.03c [Schizosaccharomyces pombe 972h-]
c6011_g1_i1	Q8NKC2	GO:0000015	299.34	6.55	4.92	245.54	phosphopyruvate hydratase complex	Full=Enolase 1-2; AltName: Full=2-phospho-D-glycerate hydro-lyase 1-2; AltName: Full=2-phosphoglycerate dehydratase 1-2 [Schizosaccharomyces pombe 972h-]
c2691_g1_i1	O74470	GO:0005634	306.89	60.57	2.39	21.96	nucleus	Full=Uncharacterized oxidoreductase C1739.08c [Schizosaccharomyces pombe 972h-]
c4471_g2_i2	NA	NA	1616.22	1895.55	211.99	1117.95	NA	NA
c2958_g1_i1	O14369	GO:0000166	20.98	33.34	114.79	10.85	nucleotide binding	Full=Probable RNA-binding protein sce3 [Schizosaccharomyces pombe 972h-]
c5134_g1_i1	O94564	GO:0004022	247.03	31.97	12.82	495.41	alcohol dehydrogenase (NAD) activity	Full=Zinc-type alcohol dehydrogenase-like protein C1773.06c [Schizosaccharomyces pombe 972h-]
c4925_g1_i1	O13901	GO:0004142	897.04	162.24	71.65	876.48	diacylglycerol cholinephosphotransferase activity	Full=Uncharacterized CDP-alcohol phosphatidyltransferase class-I family protein C22A12.10 [Schizosaccharomyces pombe 972h-]
c3778_g3_i1	O94342	GO:0001406	14.29	7.78	5.08	87.12	glycerophosphodiester transmembrane transporter activity	Full=Probable metabolite transport protein C1271.09 [Schizosaccharomyces pombe 972h-]
c6111_g1_i1	O13848	GO:0005634	969.14	687.76	50.14	960.57	nucleus	Full=NAD/NADP-dependent indole-3-acetaldehyde reductase; AltName: Full=AKR3C2 [Schizosaccharomyces pombe 972h-]
c3805_g1_i1	O42889	GO:0003674	70.13	4.75	3.38	108.18	molecular_function	Full=Uncharacterized protein C8E4.05c [Schizosaccharomyces pombe 972h-]
c1292_g1_i1	NA	NA	41.34	0.00	0.00	98.93	NA	NA
c2705_g1_i1	Q9HDU6	GO:0005634	15.07	22.45	92.45	7.24	nucleus	Full=Probable 2-dehydropantoate 2-reductase; AltName: Full=Ketopantoate reductase; Short=KPA reductase; Short=KPR [Schizosaccharomyces pombe 972h-]
c4240_g1_i1	Q7Z9I0	GO:0000296	22.97	15.46	213.35	122.11	spermine transport	Full=Uncharacterized MFS-type transporter C409.08 [Schizosaccharomyces pombe 972h-]
c5323_g1_i1	O13905	GO:0003674	39.54	162.69	46.53	16.32	molecular_function	Full=BSD domain-containing protein C22A12.14c [Schizosaccharomyces pombe 972h-]
c3617_g1_i1	P14068	GO:0000122	21.09	0.00	0.03	19.77	negative regulation of transcription from RNA polymerase II promoter	Full=Exportin-1; AltName: Full=Caffeine resistance protein 2; AltName: Full=Chromosome region maintenance protein 1 [Schizosaccharomyces pombe 972h-]
c4340_g3_i1	O14123	GO:0005886	0.00	83.34	11.09	10.27	plasma membrane	Full=Probable Na(+)/H(+) antiporter C3A11.09 [Schizosaccharomyces pombe 972h-]
c5379_g1_i1	O13901	GO:0004142	0.00	0.00	37.56	0.00	diacylglycerol cholinephosphotransferase activity	Full=Uncharacterized CDP-alcohol phosphatidyltransferase class-I family protein C22A12.10 [Schizosaccharomyces pombe 972h-]
c5872_g1_i1	O74959	GO:0005575	349.82	75.67	47.10	452.04	cellular_component	Full=Uncharacterized oxidoreductase C736.13 [Schizosaccharomyces pombe 972h-]
c6384_g1_i1	NA	NA	7.53	1000.48	3.36	18.80	NA	NA
c1512_g1_i1	O14363	GO:0002181	74.54	283.67	393.45	31.33	cytoplasmic translation	Full=60S ribosomal protein L1-A; AltName: Full=L10a [Schizosaccharomyces pombe 972h-]
c4750_g3_i1	Q92339	GO:0005215	221.05	87.07	2.56	93.49	transporter activity	Full=High-affinity gluconate transporter ght3; AltName: Full=Hexose transporter 3 [Schizosaccharomyces pombe 972h-]
c3484_g1_i1	Q10195	GO:0003674	1530.48	2751.82	81.26	938.56	molecular_function	Full=Uncharacterized protein C11C11.06c [Schizosaccharomyces pombe 972h-]
c5136_g1_i1	NA	NA	23.15	304.05	105.77	352.16	NA	NA
c4957_g1_i1	NA	NA	2136.53	4218.78	23.29	2462.47	NA	NA
c2266_g1_i2	Q9UTE5	GO:0000166	4.54	26.02	0.00	3.19	nucleotide binding	Full=Eukaryotic translation initiation factor 2-alpha kinase 2; AltName: Full=Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase; AltName: Full=Heme-regulated inhibitor 2 [Schizosaccharomyces pombe 972h-]
c2926_g1_i1	O94358	GO:0003674	173.62	115.58	13.94	177.74	molecular_function	Full=Uncharacterized protein C428.10 [Schizosaccharomyces pombe 972h-]
c3801_g2_i1	O94462	GO:0000288	120.38	39.17	19.19	183.10	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	Full=mRNA-binding protein puf3; AltName: Full=Pumilio homology domain family member 3 [Schizosaccharomyces pombe 972h-]
c4723_g2_i1	O13854	GO:0003674	34.24	192.20	196.26	15.83	molecular_function	Full=Serine/threonine-rich protein adg2; AltName: Full=Meiotically up-regulated gene 46 protein; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c4747_g1_i2	P08093	GO:0002181	925.31	2348.90	2768.00	379.99	cytoplasmic translation	Full=60S ribosomal protein L2; AltName: Full=K37; AltName: Full=K5; AltName: Full=KD4 [Schizosaccharomyces pombe 972h-]
c5904_g1_i1	O36029	GO:0003674	144.24	3.27	0.00	767.83	molecular_function	Full=Uncharacterized protein C4F10.17 [Schizosaccharomyces pombe 972h-]
c5002_g1_i1	O13990	GO:0004338	112.10	247.43	52.84	726.10	glucan exo-1,3-beta-glucosidase activity	Full=Glucan 1,3-beta-glucosidase; AltName: Full=Exo-1,3-beta-glucanase; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c5027_g1_i1	Q9Y7K0	GO:0003674	330.44	111.89	32.40	407.89	molecular_function	Full=UPF0659 protein C216.03 [Schizosaccharomyces pombe 972h-]
c1408_g1_i1	Q09903	GO:0000166	4.65	32.73	76.03	17.58	nucleotide binding	Full=ATP-dependent RNA helicase drs1 [Schizosaccharomyces pombe 972h-]
c3441_g1_i1	O13966	GO:0003994	1278.80	556.42	250.28	2885.78	aconitate hydratase activity	Full=Aconitate hydratase, mitochondrial; Short=Aconitase; AltName: Full=Citrate hydro-lyase; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c2881_g1_i1	Q9URU6	GO:0000935	9.46	53.99	245.08	5.37	barrier septum	Full=Glucan 1,3-beta-glucosidase 1; AltName: Full=Exo-1,3-beta-glucanase; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c6243_g1_i1	NA	NA	410.60	2323.42	2133.01	222.67	NA	NA
c1788_g1_i1	O74191	GO:0000412	15.74	156.08	547.92	21.44	histone peptidyl-prolyl isomerization	Full=FK506-binding protein 39 kDa; AltName: Full=Peptidyl-prolyl cis-trans isomerase; Short=PPIase; AltName: Full=Rotamase [Schizosaccharomyces pombe 972h-]
c4501_g1_i2	O60144	GO:0002181	752.29	2782.88	2041.03	340.25	cytoplasmic translation	Full=40S ribosomal protein S16 [Schizosaccharomyces pombe 972h-]
c3801_g1_i1	NA	NA	87.74	28.30	3.67	97.12	NA	NA
c4689_g2_i1	O42663	GO:0003674	418.75	2421.90	52.84	353.08	molecular_function	Full=Uncharacterized but2-like protein C27D7.09c; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c1439_g1_i1	Q9P5M9	GO:0005634	364.70	42.88	5.24	545.21	nucleus	Full=Meiotically up-regulated gene 14 protein [Schizosaccharomyces pombe 972h-]
c4775_g1_i1	Q9C0Y4	GO:0000025	2600.48	21.41	15.26	3106.78	maltose catabolic process	Full=Alpha-glucosidase; AltName: Full=Maltase; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c4398_g2_i1	O74325	GO:0003824	58.23	11.75	8.83	135.39	catalytic activity	Full=PDZ domain-containing protein C1685.05 [Schizosaccharomyces pombe 972h-]
c2106_g1_i1	Q9UUJ9	GO:0003824	281.74	32.15	27.64	805.86	catalytic activity	Full=Acetyl-CoA hydrolase; AltName: Full=Acetyl-CoA deacylase; Short=Acetyl-CoA acylase [Schizosaccharomyces pombe 972h-]
c1496_g1_i1	O14258	GO:0000978	3.67	5.96	67.56	6.86	RNA polymerase II core promoter proximal region sequence-specific DNA binding	Full=Metallothionein expression activator [Schizosaccharomyces pombe 972h-]
c349_g1_i2	Q9UUN5	GO:0006888	14.96	69.87	116.18	8.52	ER to Golgi vesicle-mediated transport	Full=PRA1-like protein [Schizosaccharomyces pombe 972h-]
c6062_g1_i1	O13696	GO:0000287	327.31	113.89	63.00	773.82	magnesium ion binding	Full=Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial; AltName: Full=Isocitric dehydrogenase; AltName: Full=NAD(+)-specific ICDH; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c4386_g1_i3	P36584	GO:0002181	426.63	707.07	1233.66	136.36	cytoplasmic translation	Full=60S ribosomal protein L3-B [Schizosaccharomyces pombe 972h-]
c3216_g2_i1	Q10157	GO:0002181	657.33	1974.52	2225.61	183.79	cytoplasmic translation	Full=60S ribosomal protein L11 [Schizosaccharomyces pombe 972h-]
c4660_g1_i1	O94435	GO:0003674	0.00	102.50	10.25	0.00	molecular_function	Full=Meiotically up-regulated gene 35 protein [Schizosaccharomyces pombe 972h-]
c1294_g1_i1	P36629	GO:0000166	34.23	201.01	73.79	22.19	nucleotide binding	Full=Splicing factor U2AF 59 kDa subunit; AltName: Full=U2 auxiliary factor 59 kDa subunit; Short=U2AF59; AltName: Full=U2 snRNP auxiliary factor large subunit [Schizosaccharomyces pombe 972h-]
c2785_g1_i2	Q9P371	GO:0004221	0.00	24.93	3.36	22.39	ubiquitin thiolesterase activity	Full=AMSH-like protease sst2; AltName: Full=Suppressor of ste12 deletion protein 2 [Schizosaccharomyces pombe 972h-]
c4201_g2_i2	O94622	GO:0000139	29.56	42.17	16.35	1.59	Golgi membrane	Full=Uncharacterized alpha-1,2-galactosyltransferase C1289.13c [Schizosaccharomyces pombe 972h-]
c6252_g1_i1	P18172	GO:0005576	0.00	0.00	0.00	92.68	extracellular region	Full=Glucose dehydrogenase [FAD, quinone]; Contains: RecName: Full=Glucose dehydrogenase [FAD, quinone] short protein; Flags: Precursor [Drosophila pseudoobscura pseudoobscura]
c4181_g1_i1	Q9Y7N4	GO:0003884	17.97	31.12	6.21	75.03	D-amino-acid oxidase activity	Full=D-amino-acid oxidase; Short=DAAO; Short=DAMOX; Short=DAO [Schizosaccharomyces pombe 972h-]
c3912_g1_i1	P87139	GO:0000139	80.73	10.91	14.25	323.36	Golgi membrane	Full=Uncharacterized RING finger protein C57A7.09; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c4848_g1_i1	Q9HDX6	GO:0000151	10.51	0.00	66.77	196.30	ubiquitin ligase complex	Full=F-box protein pof15 [Schizosaccharomyces pombe 972h-]
c4641_g1_i2	O13749	GO:0001132	91.68	112.74	26.71	242.62	TBP-class protein binding RNA polymerase II transcription factor activity	Full=Transcription initiation factor IIB; AltName: Full=General transcription factor TFIIB [Schizosaccharomyces pombe 972h-]
